Id	ColorIndex	Objective	Memo	
0	17	RegionConquest:中央シルヴァニア	レオナルド	
1	1	CountryAttack:セレスティア	セレスティア	
2	19	StatusQuo	ナオミ	
3	3	CountryAttack:ドラゴミール	エルシア	
4	96	CountryAttack:フレデリック	ドラゴミール	
5	51	CountryAttack:セレスティア	マーガレット	
6	0	CountryAttack:ドラゴミール	フレデリック	
7	4	CountryAttack:ナディア	ザンダー	
8	84	StatusQuo	ウィリアム	
9	36	CountryAttack:ドラゴミール	ザフィール	
10	78	StatusQuo	ナディア	
11	6	CountryAttack:フリージア	カリオペ	
12	26	StatusQuo	フリージア	
13	2	CountryAttack:ナディア	セレスト	
14	63	StatusQuo	ケルベロス	
15	27	StatusQuo	イリス	
16	10	StatusQuo	アトラス
