CountryId	MemberOrderIndex	CastleId	Id	Name	Attack	Defense	Intelligence	Governing	PersonalityText	TraintsText	LoyaltyBase	Fealty	Ambition	Gold	Contribution	Prestige	Loyalty	PersonalActionGauge	PersonalActionGaugeStep	StrategyActionGauge	StrategyActionGaugeStep	Soldiers	IsPlayer	CanOrder	IsImportant	IsStarving	ActionPoints	IncapacitatedDaysRemaining	csvDebugData	csvDebugMemo	
-1	-1	-1	0	"イヴァ"	88	66	82	69	"Knight"	"Knight"	80	7	5	10.0	0.0	0	100.0	0.0	3.66	0.0	3.73333335	|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,	false	false	false	false	0	0	""	""	
-1	-1	-1	3	"アストレア"	74	85	79	71	"Knight"	"Knight"	85	7	5	10.0	0.0	0	100.0	0.0	3.56000018	0.0	3.60000014	|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,	false	false	false	false	0	0	""	""	
-1	-1	-1	5	"アネモネ"	77	77	90	88	"Chaos"	"None"	75	5	5	10.0	0.0	0	100.0	0.0	4.0333333	0.0	4.87999964	|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,	false	false	false	false	0	0	""	""	
-1	-1	-1	6	"アマンダ"	65	81	78	83	"Merchant"	"Merchant"	90	6	4	10.0	0.0	0	100.0	0.0	3.69333339	0.0	4.08	|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,	false	false	false	false	0	0	""	""	
-1	-1	-1	8	"アリアナ"	74	87	86	80	"Knight"	"Knight Hunter"	80	8	8	10.0	0.0	0	100.0	0.0	3.9666667	0.0	4.506667	|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,	false	false	false	false	0	0	""	""	
-1	-1	-1	9	"アリエル"	64	68	55	62	"Normal"	"None"	90	5	6	10.0	0.0	0	100.0	0.0	2.4	0.0	1.38666689	|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,	false	false	false	false	0	0	""	""	
-1	-1	-1	12	"アルバート"	79	75	77	71	"Warrior"	"Drillmaster"	85	7	5	10.0	0.0	0	100.0	0.0	3.38666677	0.0	3.33333325	|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,	false	false	false	false	0	0	""	""	
-1	-1	-1	13	"アーサー"	92	98	93	81	"Knight"	"Knight"	65	8	9	10.0	0.0	0	100.0	0.0	4.39333344	0.0	5.2266674	|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,	false	false	false	false	0	0	""	""	
-1	-1	-1	14	"イカロス"	87	79	63	60	"Knight"	"Knight"	80	6	8	10.0	0.0	0	100.0	0.0	2.95333338	0.0	2.213333	|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,	false	false	false	false	0	0	""	""	
-1	-1	-1	15	"イグレイン"	59	90	83	77	"Normal"	"Admiral"	85	6	5	10.0	0.0	0	100.0	0.0	3.88666654	0.0	4.26666641	|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,	false	false	false	false	0	0	""	""	
-1	-1	-1	19	"イゾルデ"	38	80	77	79	"Pacifist"	"None"	90	5	5	10.0	0.0	0	100.0	0.0	3.56666684	0.0	3.78666663	|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,	false	false	false	false	0	0	""	""	
-1	-1	-1	21	"イシュタル"	99	97	66	80	"Chaos"	"DivineSpeed"	40	3	7	10.0	0.0	0	100.0	0.0	3.67333364	0.0	3.76000047	|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,	false	false	false	false	0	0	""	""	
-1	-1	-1	23	"エスメラルダ"	67	92	75	76	"Normal"	"None"	85	5	6	10.0	0.0	0	100.0	0.0	3.69333339	0.0	3.84000015	|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,	false	false	false	false	0	0	""	""	
-1	-1	-1	25	"エマ"	46	67	83	84	"Pacifist"	"None"	90	7	5	10.0	0.0	0	100.0	0.0	3.56666684	0.0	4.026667	|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,|2,,	false	false	false	false	0	0	""	""	
